date,product_name,product_id,season,is_holiday,is_weekend,demand,competitor_price,base_cost,selling_price,discount_pct,effective_price,units_sold,revenue,profit,profit_margin_pct
2022-01-01,Graphic Bundle Pro,0,0,1,1,51.99,32.87,8.0,31.17,0.0,31.17,4.0,124.68,92.68,74.33
2022-01-05,Logo Template Pack,1,0,0,0,30.34,22.46,5.0,19.24,0.0,19.24,3.0,57.72,42.72,74.01
2022-01-07,Mockup Studio Kit,2,0,0,0,40.32,43.06,10.0,39.52,0.0,39.52,5.0,197.6,147.6,74.7
2022-01-06,Social Media Pack,3,0,0,0,25.86,15.83,4.0,13.97,5.96,13.14,4.0,52.55,36.55,69.55
2022-01-06,UI Component Set,4,0,0,0,26.25,62.91,12.0,51.3,18.4,41.86,3.0,125.58,89.58,71.33
2022-01-09,Graphic Bundle Pro,0,0,0,1,43.28,22.45,8.0,24.95,2.31,24.37,6.0,146.24,98.24,67.18
2022-01-11,Logo Template Pack,1,0,0,0,27.19,18.12,5.0,16.83,12.04,14.8,5.0,74.02,49.02,66.23
2022-01-11,Mockup Studio Kit,2,0,0,0,25.1,34.12,10.0,32.68,15.05,27.76,5.0,138.81,88.81,63.98
2022-01-09,Social Media Pack,3,0,0,1,41.1,18.12,4.0,16.03,0.0,16.03,4.0,64.12,48.12,75.05
2022-01-14,UI Component Set,4,0,0,0,34.0,55.14,12.0,48.93,0.0,48.93,4.0,195.72,147.72,75.48
2022-01-15,Graphic Bundle Pro,0,0,0,1,42.49,32.35,8.0,29.8,0.0,29.8,3.0,89.4,65.4,73.15
2022-01-12,Logo Template Pack,1,0,0,0,27.67,20.19,5.0,17.9,7.1,16.63,4.0,66.52,46.52,69.93
2022-01-15,Mockup Studio Kit,2,0,0,1,28.14,45.66,10.0,38.92,14.52,33.27,4.0,133.08,93.08,69.94
2022-01-17,Social Media Pack,3,0,0,0,40.05,11.5,4.0,12.65,6.55,11.82,7.0,82.75,54.75,66.16
2022-01-16,UI Component Set,4,0,0,1,28.47,38.32,12.0,39.44,13.62,34.07,6.0,204.41,132.41,64.78
2022-01-18,Graphic Bundle Pro,0,0,0,0,32.38,32.35,8.0,28.63,0.0,28.63,3.0,85.89,61.89,72.06
2022-01-19,Logo Template Pack,1,0,0,0,27.89,15.19,5.0,15.41,22.76,11.9,6.0,71.42,41.42,57.99
2022-01-22,Mockup Studio Kit,2,0,0,1,43.88,44.19,10.0,40.64,0.0,40.64,4.0,162.56,122.56,75.39
2022-01-19,Social Media Pack,3,0,0,0,30.53,14.23,4.0,13.45,0.0,13.45,3.0,40.35,28.35,70.26
2022-01-21,UI Component Set,4,0,0,0,22.04,61.24,12.0,49.64,15.5,41.95,3.0,125.84,89.84,71.39
2022-01-24,Graphic Bundle Pro,0,0,0,0,37.06,28.92,8.0,27.46,0.0,27.46,4.0,109.84,77.84,70.87
2022-01-26,Logo Template Pack,1,0,0,0,27.55,19.01,5.0,17.3,8.04,15.91,4.0,63.64,43.64,68.57
2022-01-27,Mockup Studio Kit,2,0,0,0,19.67,45.52,10.0,37.53,15.79,31.6,3.0,94.81,64.81,68.36
2022-01-26,Social Media Pack,3,0,0,0,44.88,16.61,4.0,15.5,0.0,15.5,4.0,62.0,46.0,74.19
2022-01-28,UI Component Set,4,0,0,0,43.46,45.64,12.0,46.04,2.17,45.04,6.0,270.25,198.25,73.36
2022-01-28,Graphic Bundle Pro,0,0,0,0,24.88,36.51,8.0,29.84,13.72,25.75,2.0,51.49,35.49,68.93
2022-01-30,Logo Template Pack,1,0,0,1,27.84,19.29,5.0,17.46,16.74,14.54,5.0,72.69,47.69,65.61
2022-01-30,Mockup Studio Kit,2,0,0,1,71.21,49.37,10.0,47.49,0.0,47.49,5.0,237.45,187.45,78.94
2022-01-31,Social Media Pack,3,0,0,0,25.92,15.55,4.0,13.83,11.58,12.23,4.0,48.91,32.91,67.29
2022-02-01,UI Component Set,4,0,0,0,35.47,40.53,12.0,41.92,8.31,38.44,5.0,192.18,132.18,68.78
2022-02-03,Graphic Bundle Pro,0,0,0,0,45.99,34.01,8.0,31.04,0.0,31.04,5.0,155.2,115.2,74.23
2022-02-04,Logo Template Pack,1,0,0,0,21.82,14.64,5.0,14.68,18.89,11.91,5.0,59.53,34.53,58.0
2022-02-04,Mockup Studio Kit,2,0,0,0,37.23,35.49,10.0,35.25,0.0,35.25,4.0,141.0,101.0,71.63
2022-02-07,Social Media Pack,3,0,0,0,26.69,12.61,4.0,12.41,5.67,11.71,4.0,46.83,30.83,65.83
2022-02-08,UI Component Set,4,0,0,0,45.11,60.76,12.0,53.92,0.0,53.92,4.0,215.68,167.68,77.74
2022-02-09,Graphic Bundle Pro,0,0,0,0,43.21,34.06,8.0,30.74,0.0,30.74,4.0,122.96,90.96,73.98
2022-02-08,Logo Template Pack,1,0,0,0,45.47,16.99,5.0,17.65,14.05,15.17,6.0,91.02,61.02,67.04
2022-02-08,Mockup Studio Kit,2,0,0,0,50.51,32.54,10.0,35.85,2.69,34.89,7.0,244.2,174.2,71.33
2022-02-11,Social Media Pack,3,0,0,0,27.02,17.66,4.0,14.95,19.58,12.02,4.0,48.09,32.09,66.73
2022-02-13,UI Component Set,4,0,0,1,42.26,42.94,12.0,44.45,1.98,43.57,6.0,261.42,189.42,72.46
2022-02-14,Graphic Bundle Pro,0,0,1,0,31.56,31.02,8.0,27.87,0.0,27.87,3.0,83.61,59.61,71.3
2022-02-11,Logo Template Pack,1,0,0,0,38.51,21.97,5.0,19.61,0.0,19.61,4.0,78.44,58.44,74.5
2022-02-14,Mockup Studio Kit,2,0,1,0,35.58,35.71,10.0,35.11,0.0,35.11,5.0,175.55,125.55,71.52
2022-02-13,Social Media Pack,3,0,0,1,52.4,13.61,4.0,14.45,13.87,12.45,7.0,87.12,59.12,67.86
2022-02-16,UI Component Set,4,0,0,0,23.58,40.53,12.0,39.59,11.29,35.12,6.0,210.72,138.72,65.83
2022-02-17,Graphic Bundle Pro,0,0,0,0,28.13,34.58,8.0,29.25,12.01,25.74,3.0,77.21,53.21,68.92
2022-02-20,Logo Template Pack,1,0,0,1,36.74,22.58,5.0,19.78,0.0,19.78,2.0,39.56,29.56,74.72
2022-02-17,Mockup Studio Kit,2,0,0,0,23.26,47.86,10.0,39.26,14.05,33.74,3.0,101.23,71.23,70.36
2022-02-18,Social Media Pack,3,0,0,0,33.44,18.41,4.0,15.71,0.0,15.71,2.0,31.42,23.42,74.54
2022-02-20,UI Component Set,4,0,0,1,33.65,56.86,12.0,49.73,0.0,49.73,4.0,198.92,150.92,75.87
2022-02-24,Graphic Bundle Pro,0,0,0,0,26.93,24.08,8.0,23.86,17.37,19.72,5.0,98.58,58.58,59.42
2022-02-21,Logo Template Pack,1,0,0,0,37.63,15.98,5.0,16.55,4.27,15.84,5.0,79.22,54.22,68.44
2022-02-24,Mockup Studio Kit,2,0,0,0,29.42,33.0,10.0,32.79,5.8,30.89,5.0,154.44,104.44,67.62
2022-02-23,Social Media Pack,3,0,0,0,35.35,13.87,4.0,13.56,0.0,13.56,4.0,54.24,38.24,70.5
2022-02-27,UI Component Set,4,0,0,1,40.61,41.64,12.0,43.48,3.55,41.94,6.0,251.62,179.62,71.39
2022-03-01,Graphic Bundle Pro,0,1,0,0,47.31,22.54,8.0,25.46,5.6,24.03,7.0,168.24,112.24,66.71
2022-03-02,Logo Template Pack,1,1,0,0,45.17,23.91,5.0,21.09,0.0,21.09,3.0,63.27,48.27,76.29
2022-02-27,Mockup Studio Kit,2,0,0,1,46.16,50.26,10.0,44.03,0.0,44.03,3.0,132.09,102.09,77.29
2022-03-02,Social Media Pack,3,1,0,0,37.18,12.36,4.0,12.91,8.04,11.87,6.0,71.23,47.23,66.31
2022-03-04,UI Component Set,4,1,0,0,15.39,47.13,12.0,41.28,14.59,35.26,3.0,105.77,69.77,65.96
2022-03-02,Graphic Bundle Pro,0,1,0,0,39.48,25.46,8.0,26.01,5.51,24.58,6.0,147.46,99.46,67.45
2022-03-03,Logo Template Pack,1,1,0,0,38.74,21.42,5.0,19.35,0.0,19.35,4.0,77.4,57.4,74.16
2022-03-07,Mockup Studio Kit,2,1,0,0,58.99,36.29,10.0,39.05,8.03,35.91,8.0,287.31,207.31,72.16
2022-03-09,Social Media Pack,3,1,0,0,49.34,15.64,4.0,15.28,0.0,15.28,5.0,76.4,56.4,73.82
2022-03-06,UI Component Set,4,1,0,1,40.11,55.47,12.0,50.3,0.0,50.3,4.0,201.2,153.2,76.14
2022-03-08,Graphic Bundle Pro,0,1,0,0,50.29,33.33,8.0,31.2,0.0,31.2,5.0,156.0,116.0,74.36
2022-03-10,Logo Template Pack,1,1,0,0,28.19,22.62,5.0,19.15,13.91,16.49,4.0,65.94,45.94,69.67
2022-03-13,Mockup Studio Kit,2,1,0,1,38.47,34.69,10.0,35.05,8.85,31.95,5.0,159.74,109.74,68.7
2022-03-12,Social Media Pack,3,1,0,1,59.55,15.97,4.0,16.06,6.99,14.94,6.0,89.62,65.62,73.22
2022-03-14,UI Component Set,4,1,0,0,44.3,50.01,12.0,48.39,0.0,48.39,3.0,145.17,109.17,75.2
2022-03-12,Graphic Bundle Pro,0,1,0,1,35.19,23.15,8.0,24.36,9.87,21.96,6.0,131.73,83.73,63.56
2022-03-17,Logo Template Pack,1,1,0,0,46.76,17.74,5.0,18.12,13.48,15.68,7.0,109.74,74.74,68.11
2022-03-17,Mockup Studio Kit,2,1,0,0,36.86,32.63,10.0,33.77,2.22,33.02,5.0,165.1,115.1,69.72
2022-03-16,Social Media Pack,3,1,0,0,36.7,17.27,4.0,15.34,0.0,15.34,3.0,46.02,34.02,73.92
2022-03-20,UI Component Set,4,1,0,1,59.04,46.89,12.0,49.72,14.8,42.36,8.0,338.89,242.89,71.67
2022-03-21,Graphic Bundle Pro,0,1,0,0,47.46,35.32,8.0,31.87,0.0,31.87,4.0,127.48,95.48,74.9
2022-03-18,Logo Template Pack,1,1,0,0,38.26,14.38,5.0,15.8,6.81,14.72,5.0,73.62,48.62,66.04
2022-03-19,Mockup Studio Kit,2,1,0,1,31.86,38.74,10.0,36.04,0.0,36.04,4.0,144.16,104.16,72.25
2022-03-22,Social Media Pack,3,1,0,0,26.23,19.48,4.0,15.81,18.19,12.93,3.0,38.8,26.8,69.07
2022-03-25,UI Component Set,4,1,0,0,48.1,63.68,12.0,55.97,0.0,55.97,3.0,167.91,131.91,78.56
2022-03-22,Graphic Bundle Pro,0,1,0,0,43.9,22.21,8.0,24.9,3.61,24.0,6.0,144.01,96.01,66.67
2022-03-26,Logo Template Pack,1,1,0,1,58.78,23.77,5.0,22.05,0.0,22.05,5.0,110.25,85.25,77.32
2022-03-28,Mockup Studio Kit,2,1,0,0,48.01,42.25,10.0,40.31,0.0,40.31,4.0,161.24,121.24,75.19
2022-03-25,Social Media Pack,3,1,0,0,15.43,11.72,4.0,11.29,17.01,9.37,3.0,28.11,16.11,57.31
2022-03-26,UI Component Set,4,1,0,1,66.72,37.83,12.0,46.69,3.03,45.28,8.0,362.2,266.2,73.5
2022-03-30,Graphic Bundle Pro,0,1,0,0,31.77,24.23,8.0,24.5,11.02,21.8,5.0,109.0,69.0,63.3
2022-03-28,Logo Template Pack,1,1,0,0,59.51,20.64,5.0,20.54,0.0,20.54,5.0,102.7,77.7,75.66
2022-03-30,Mockup Studio Kit,2,1,0,0,42.42,48.21,10.0,42.42,0.0,42.42,3.0,127.26,97.26,76.43
2022-04-01,Social Media Pack,3,1,0,0,33.61,19.34,4.0,16.19,0.0,16.19,3.0,48.57,36.57,75.29
2022-03-31,UI Component Set,4,1,0,0,38.92,52.18,12.0,48.42,0.0,48.42,4.0,193.68,145.68,75.22
2022-04-02,Graphic Bundle Pro,0,1,0,1,34.63,32.91,8.0,29.17,0.0,29.17,3.0,87.51,63.51,72.57
2022-04-06,Logo Template Pack,1,1,0,0,46.28,19.56,5.0,19.0,0.0,19.0,5.0,95.0,70.0,73.68
2022-04-07,Mockup Studio Kit,2,1,0,0,44.92,35.21,10.0,36.31,4.57,34.65,5.0,173.25,123.25,71.14
2022-04-06,Social Media Pack,3,1,0,0,40.4,14.65,4.0,14.25,0.0,14.25,4.0,57.0,41.0,71.93
2022-04-09,UI Component Set,4,1,0,1,34.8,37.72,12.0,40.38,6.28,37.84,7.0,264.91,180.91,68.29
2022-04-07,Graphic Bundle Pro,0,1,0,0,32.06,30.77,8.0,27.8,0.0,27.8,3.0,83.4,59.4,71.22
2022-04-09,Logo Template Pack,1,1,0,1,56.71,22.48,5.0,21.25,0.0,21.25,5.0,106.25,81.25,76.47
2022-04-11,Mockup Studio Kit,2,1,0,0,37.78,36.99,10.0,36.09,0.0,36.09,4.0,144.36,104.36,72.29
2022-04-13,Social Media Pack,3,1,0,0,46.02,15.4,4.0,14.96,0.0,14.96,5.0,74.8,54.8,73.26
2022-04-13,UI Component Set,4,1,0,0,42.58,59.32,12.0,52.7,0.0,52.7,4.0,210.8,162.8,77.23
2022-04-15,Graphic Bundle Pro,0,1,0,0,37.82,27.08,8.0,26.63,0.0,26.63,4.0,106.52,74.52,69.96
2022-04-16,Logo Template Pack,1,1,0,1,33.17,14.4,5.0,15.42,12.41,13.51,5.0,67.53,42.53,62.98
2022-04-15,Mockup Studio Kit,2,1,0,0,34.27,31.82,10.0,32.96,5.47,31.16,5.0,155.79,105.79,67.91
